Ticker
SPY
AAPL
ABBV
ABT
ADT
AKS
AMAT
AMD
AMZN
APC
ARNC
AVGO
BA
BABA
BAC
C
CAT
CELG
CHK
CLF
CMCSA
COP
CSCO
CTL
CZR
DIS
EBAY
F
FB
FCX
GE
GILD
GLW
GM
GOOGL
GPK
GS
HAL
HBAN
HD
HES
HPQ
HST
IBM
INTC
IPG
JBLU
JCP
JNJ
JPM
KEY
KMI
KO
KR
LLY
M
MAT
MCD
MDLZ
MDXG
MGM
MNKD
MO
MRK
MRO
MSFT
MU
NFLX
NKE
NLY
NVDA
ORCL
P
PFE
PG
PHM
QCOM
RAD
RF
S
SBUX
SCHW
SGYP
SIRI
SLB
SNAP
SPN
SQ
SWN
T
TEVA
TRXC
TSLA
TWTR
TXN
UAL
V
VRX
VZ
WBA
WFC
WFT
WLL
WMT
XOM
SH
SDS
CHAU
CHAD
EWJ
EWY
FXI
EWT
EWH
EWS
EWM
EIDO
THD
VGK
EWG
EWU
RSX
EWL
EWP
EWQ
EWI
EWD
GREK
EPOL
TUR
EZA
EWZ
ILF
ECH
ARGT
EPU
FM
YCS
UUP
FXE
FXB
EUO
FXC
FXF
FXA
FXY
TBT
EMB
JNK
XIV
SVXY
GLD
SLV
USO
DBA
PPLT
UNG
UCO
JO
UWT
DWT
UGAZ
DGAZ
